epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,82.8634,1.40448,1.71806,1.35276,0.77744,0.58333,0.658,0.35927,1.82917,1.8729,1.60611,0.000990365,0.000990365,0.000990365
43,84.7836,1.61971,1.7575,1.43212,0.67671,0.52083,0.57025,0.37582,1.89144,1.70814,1.64655,0.000973861,0.000973861,0.000973861
44,86.675,1.46361,1.97912,1.39774,0.5889,0.64583,0.62146,0.37029,2.03866,1.68022,1.70108,0.000957358,0.000957358,0.000957358
45,88.6029,1.43849,1.6364,1.3292,0.60829,0.64583,0.61437,0.36069,2.0528,1.69397,1.65625,0.000940855,0.000940855,0.000940855
46,90.4898,1.45397,1.62895,1.29688,0.69352,0.52083,0.6581,0.3876,2.04011,1.79968,1.70096,0.000924352,0.000924352,0.000924352
47,92.365,1.50117,1.65269,1.29003,0.71856,0.64583,0.73809,0.41798,1.91784,1.61859,1.66112,0.000907848,0.000907848,0.000907848
48,94.2715,1.43393,1.53139,1.3909,0.74621,0.77083,0.75322,0.41228,1.92482,1.53182,1.67189,0.000891345,0.000891345,0.000891345
49,96.3669,1.37096,1.57627,1.27893,0.69156,0.77083,0.77458,0.37368,2.01528,1.6467,1.744,0.000874842,0.000874842,0.000874842
50,98.3294,1.52124,1.70118,1.46777,0.60539,0.68525,0.62752,0.38236,2.05458,1.79151,1.8079,0.000858338,0.000858338,0.000858338
51,100.277,1.3081,1.47433,1.29013,0.58539,0.62964,0.61765,0.35395,2.00574,1.80258,1.75221,0.000841835,0.000841835,0.000841835
52,102.192,1.4011,1.52532,1.30014,0.55882,0.64583,0.64716,0.36692,1.88996,1.63095,1.6784,0.000825332,0.000825332,0.000825332
53,104.062,1.37194,1.4271,1.27065,0.60248,0.68006,0.70021,0.40073,1.80023,1.55925,1.61387,0.000808828,0.000808828,0.000808828
54,105.986,1.26118,1.44848,1.21917,0.69198,0.64503,0.7153,0.38808,1.81242,1.50522,1.60284,0.000792325,0.000792325,0.000792325
55,107.917,1.50611,1.7161,1.28925,0.72908,0.5544,0.66679,0.41264,1.8519,1.51929,1.6808,0.000775822,0.000775822,0.000775822
56,109.86,1.23781,1.37525,1.21835,0.72493,0.51804,0.64011,0.37189,1.97577,1.58825,1.71491,0.000759318,0.000759318,0.000759318
57,111.781,1.4037,1.55894,1.2771,0.92032,0.45833,0.62469,0.34246,2.10315,1.59139,1.79049,0.000742815,0.000742815,0.000742815
58,113.669,1.28792,1.50017,1.26294,0.60874,0.69199,0.63597,0.33297,2.13777,1.50261,1.80678,0.000726312,0.000726312,0.000726312
59,115.711,1.3304,1.47289,1.32313,0.64048,0.70833,0.68769,0.36056,2.02622,1.43929,1.79427,0.000709809,0.000709809,0.000709809
60,117.79,1.41251,1.5051,1.29542,0.62743,0.77083,0.68205,0.41022,1.98672,1.38094,1.76689,0.000693305,0.000693305,0.000693305
61,119.843,1.26009,1.45874,1.23658,0.66045,0.7905,0.73786,0.40336,2.03713,1.442,1.80265,0.000676802,0.000676802,0.000676802
62,121.902,1.1923,1.23379,1.18657,0.71099,0.75853,0.71235,0.38358,1.991,1.38957,1.79152,0.000660299,0.000660299,0.000660299
63,123.999,1.26536,1.40678,1.28523,0.67052,0.77083,0.69809,0.37065,1.87139,1.40564,1.73451,0.000643795,0.000643795,0.000643795
64,126.059,1.26722,1.26147,1.2435,0.67832,0.70833,0.69059,0.37495,1.96433,1.3913,1.83516,0.000627292,0.000627292,0.000627292
65,128.229,1.29507,1.37886,1.22295,0.75254,0.69237,0.72088,0.38755,1.89106,1.2909,1.77761,0.000610789,0.000610789,0.000610789
66,130.497,1.26662,1.27695,1.17972,0.68618,0.77083,0.75476,0.40999,1.96585,1.22869,1.81308,0.000594286,0.000594286,0.000594286
67,132.592,1.22335,1.30948,1.24562,0.76413,0.70833,0.76108,0.35875,1.97644,1.28694,1.79049,0.000577782,0.000577782,0.000577782
68,134.696,1.25557,1.32451,1.22538,0.73386,0.70833,0.70587,0.38531,1.98913,1.28092,1.79217,0.000561279,0.000561279,0.000561279
69,137.141,1.16358,1.29488,1.19957,0.68515,0.64583,0.62177,0.35802,1.90855,1.29558,1.74372,0.000544776,0.000544776,0.000544776
70,139.317,1.25176,1.3648,1.21008,0.66528,0.74454,0.63248,0.38451,1.88614,1.29255,1.72487,0.000528272,0.000528272,0.000528272
71,141.464,1.21777,1.27336,1.21744,0.67063,0.75263,0.61678,0.38496,1.88314,1.21888,1.73259,0.000511769,0.000511769,0.000511769
72,143.532,1.15994,1.16708,1.17611,0.64686,0.77083,0.63829,0.39093,1.91049,1.16698,1.74271,0.000495266,0.000495266,0.000495266
73,145.555,1.19083,1.16776,1.19168,0.76719,0.70833,0.69903,0.38945,1.97719,1.16089,1.79673,0.000478762,0.000478762,0.000478762
74,147.607,1.32774,1.4318,1.29143,0.75341,0.75556,0.71287,0.38818,1.99122,1.2029,1.80623,0.000462259,0.000462259,0.000462259
