epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,62.7599,1.42611,1.6239,1.31521,0.75112,0.52083,0.65087,0.3505,1.97715,1.78835,1.73192,0.000990365,0.000990365,0.000990365
43,64.2644,1.60246,1.74467,1.35945,0.5309,0.62297,0.5483,0.26462,1.94384,1.92503,1.70267,0.000973861,0.000973861,0.000973861
44,65.7183,1.37096,1.5973,1.238,0.78184,0.58189,0.60434,0.31394,2.0552,1.89372,1.74393,0.000957358,0.000957358,0.000957358
45,67.1923,1.42745,1.62619,1.27957,0.71966,0.58333,0.6377,0.32154,2.03448,1.79968,1.72881,0.000940855,0.000940855,0.000940855
46,68.6478,1.41746,1.5686,1.29216,0.71032,0.70833,0.68427,0.3794,1.83793,1.64803,1.57991,0.000924352,0.000924352,0.000924352
47,70.1151,1.34651,1.51466,1.22856,0.81501,0.70169,0.70124,0.35449,1.85596,1.61843,1.59102,0.000907848,0.000907848,0.000907848
48,71.555,1.43395,1.50061,1.32483,0.68461,0.77083,0.67159,0.34729,1.93081,1.72779,1.61038,0.000891345,0.000891345,0.000891345
49,73.0136,1.38543,1.49403,1.27127,0.63873,0.70833,0.63373,0.33172,1.83904,1.79017,1.50687,0.000874842,0.000874842,0.000874842
50,74.4931,1.44402,1.69296,1.36499,0.54009,0.75659,0.63686,0.31196,1.89146,1.85836,1.53026,0.000858338,0.000858338,0.000858338
51,75.9456,1.31922,1.43679,1.26002,0.49487,0.71284,0.62139,0.35004,1.92843,1.89761,1.55186,0.000841835,0.000841835,0.000841835
52,77.4299,1.38372,1.47074,1.27369,0.60225,0.70833,0.68971,0.36574,1.81178,1.56805,1.63016,0.000825332,0.000825332,0.000825332
53,78.9035,1.311,1.45388,1.16426,0.75909,0.70149,0.67956,0.34358,1.8765,1.57483,1.68098,0.000808828,0.000808828,0.000808828
54,80.3571,1.27051,1.35837,1.18692,0.76932,0.64583,0.67071,0.30684,1.86689,1.64594,1.65048,0.000792325,0.000792325,0.000792325
55,81.7854,1.30227,1.42266,1.20845,0.78172,0.64583,0.66445,0.33715,1.93403,1.67933,1.67342,0.000775822,0.000775822,0.000775822
56,83.4687,1.21541,1.38543,1.17143,0.755,0.64583,0.71999,0.33424,2.01434,1.61825,1.70677,0.000759318,0.000759318,0.000759318
57,84.9173,1.24139,1.31277,1.17722,0.5604,0.58333,0.62734,0.33948,1.88966,1.55231,1.6809,0.000742815,0.000742815,0.000742815
58,86.3552,1.17273,1.31484,1.15846,0.56482,0.70833,0.7287,0.35406,2.11182,1.7899,1.80541,0.000726312,0.000726312,0.000726312
59,87.8105,1.19306,1.30008,1.20717,0.51659,0.7238,0.70042,0.34104,2.12934,1.82514,1.78023,0.000709809,0.000709809,0.000709809
60,89.2483,1.25126,1.36308,1.18776,0.68282,0.69448,0.70655,0.34876,1.98285,1.55631,1.77889,0.000693305,0.000693305,0.000693305
61,90.6631,1.13627,1.2632,1.15398,0.78218,0.70833,0.7286,0.37229,1.99936,1.52643,1.75067,0.000676802,0.000676802,0.000676802
62,92.098,1.11689,1.21777,1.12709,0.71253,0.70833,0.73191,0.38029,1.86618,1.45953,1.65244,0.000660299,0.000660299,0.000660299
63,93.554,1.18487,1.29705,1.15834,0.7428,0.70402,0.73226,0.41748,1.79723,1.4214,1.5963,0.000643795,0.000643795,0.000643795
64,94.9967,1.1752,1.26941,1.18027,0.7428,0.75779,0.75893,0.43191,1.85475,1.31187,1.65754,0.000627292,0.000627292,0.000627292
65,96.4225,1.27396,1.27191,1.15608,0.75137,0.77083,0.76496,0.45248,1.86419,1.30483,1.68149,0.000610789,0.000610789,0.000610789
66,97.8544,1.10587,1.16878,1.08823,0.76494,0.77083,0.75238,0.47677,1.82403,1.29126,1.66432,0.000594286,0.000594286,0.000594286
67,99.2846,1.10438,1.17209,1.15203,0.72076,0.81969,0.7391,0.43317,1.83001,1.28754,1.65256,0.000577782,0.000577782,0.000577782
68,100.741,1.16616,1.19593,1.12545,0.66995,0.79931,0.71707,0.40594,1.86404,1.32604,1.65988,0.000561279,0.000561279,0.000561279
69,102.187,1.05841,1.17179,1.0875,0.62865,0.64583,0.69179,0.39137,1.83305,1.44474,1.65932,0.000544776,0.000544776,0.000544776
70,103.62,1.16099,1.15753,1.10285,0.55121,0.66269,0.65588,0.40026,1.79726,1.54219,1.62919,0.000528272,0.000528272,0.000528272
71,105.05,1.1054,1.23636,1.11582,0.46248,0.66798,0.63697,0.39776,1.78239,1.59595,1.62564,0.000511769,0.000511769,0.000511769
72,106.51,1.01661,1.09511,1.07298,0.57057,0.64583,0.65198,0.36955,1.7777,1.51287,1.64654,0.000495266,0.000495266,0.000495266
73,107.958,1.10732,1.10749,1.11374,0.66899,0.8225,0.68479,0.37507,1.85077,1.31501,1.73446,0.000478762,0.000478762,0.000478762
74,109.398,1.19398,1.13788,1.18186,0.70027,0.77083,0.69924,0.38264,1.95802,1.35199,1.77834,0.000462259,0.000462259,0.000462259
75,110.842,1.08826,1.11811,1.07962,0.72288,0.77083,0.68692,0.38057,1.97685,1.32298,1.80983,0.000445756,0.000445756,0.000445756
76,112.301,1.11649,1.11236,1.09565,0.74469,0.77067,0.68084,0.35015,2.00261,1.39037,1.7882,0.000429253,0.000429253,0.000429253
77,113.775,1.0035,1.0975,1.03098,0.72035,0.80891,0.73799,0.37981,1.98694,1.45807,1.77398,0.000412749,0.000412749,0.000412749
78,115.23,1.10445,1.1306,1.11829,0.70665,0.81352,0.73799,0.39805,1.92063,1.4686,1.75359,0.000396246,0.000396246,0.000396246
79,116.672,1.09662,1.062,1.07846,0.70989,0.70833,0.74633,0.3923,1.92475,1.4437,1.72133,0.000379743,0.000379743,0.000379743
80,118.108,0.95976,0.99534,1.02638,0.74284,0.77083,0.74067,0.3922,1.89558,1.36725,1.71909,0.000363239,0.000363239,0.000363239
81,119.564,0.90858,1.03058,1.0275,0.73712,0.77083,0.73042,0.3918,1.89136,1.37208,1.66896,0.000346736,0.000346736,0.000346736
82,121.022,0.99081,1.00497,1.05276,0.74021,0.77083,0.7086,0.38487,1.85852,1.35302,1.64807,0.000330233,0.000330233,0.000330233
83,122.485,0.96875,0.96815,1.02967,0.73498,0.77083,0.71078,0.38311,1.87247,1.31036,1.65156,0.000313729,0.000313729,0.000313729
84,123.921,1.03493,1.07316,1.08094,0.74588,0.80371,0.75512,0.39039,1.90858,1.30169,1.67371,0.000297226,0.000297226,0.000297226
85,125.36,0.96,0.95962,1.02179,0.74103,0.83333,0.75512,0.38486,1.93598,1.28831,1.68622,0.000280723,0.000280723,0.000280723
86,126.854,0.93872,0.94084,1.00923,0.71477,0.77083,0.74375,0.38542,1.94643,1.26605,1.69412,0.00026422,0.00026422,0.00026422
87,128.287,0.96146,0.95512,1.03404,0.71717,0.82966,0.74375,0.37886,1.94055,1.26568,1.69603,0.000247716,0.000247716,0.000247716
88,129.73,0.96118,1.0012,1.03103,0.71424,0.83333,0.74375,0.38271,1.9486,1.3402,1.67606,0.000231213,0.000231213,0.000231213
89,131.157,0.89765,1.02901,0.99997,0.71345,0.77083,0.73042,0.3702,1.95639,1.38545,1.67579,0.00021471,0.00021471,0.00021471
